Date,Acquirenti a settimana,Acquirenti al giorno,Acquirenti al mese
01/05/2017,0,0,0
02/05/2017,0,0,0
03/05/2017,0,0,0
04/05/2017,0,0,0
05/05/2017,0,0,0
06/05/2017,0,0,0
07/05/2017,0,0,0
08/05/2017,0,0,0
09/05/2017,0,0,0
10/05/2017,0,0,0
11/05/2017,0,0,0
12/05/2017,0,0,0
13/05/2017,0,0,0
14/05/2017,0,0,0
15/05/2017,0,0,0
16/05/2017,0,0,0
17/05/2017,0,0,0
18/05/2017,0,0,0
19/05/2017,0,0,0
20/05/2017,0,0,0
21/05/2017,0,0,0
22/05/2017,0,0,0
23/05/2017,0,0,0
24/05/2017,0,0,0
25/05/2017,0,0,0
26/05/2017,0,0,0
27/05/2017,0,0,0
28/05/2017,0,0,0
29/05/2017,0,0,0
30/05/2017,0,0,0
31/05/2017,0,0,0
01/06/2017,0,0,0
02/06/2017,0,0,0
03/06/2017,1,1,1
04/06/2017,2,1,2
05/06/2017,2,0,2
06/06/2017,4,2,4
07/06/2017,5,1,5
08/06/2017,6,1,6
09/06/2017,9,3,9
10/06/2017,9,1,10
11/06/2017,8,0,10
12/06/2017,9,1,11
13/06/2017,8,1,12
14/06/2017,7,0,12
15/06/2017,6,0,12
16/06/2017,3,0,12
17/06/2017,3,1,13
18/06/2017,3,0,13
19/06/2017,3,1,14
20/06/2017,3,1,15
21/06/2017,4,1,15
22/06/2017,4,0,15
23/06/2017,4,0,15
24/06/2017,3,0,15
25/06/2017,4,1,16
26/06/2017,5,2,18
27/06/2017,5,1,19
28/06/2017,4,0,19
29/06/2017,4,0,19
30/06/2017,4,0,19
01/07/2017,5,1,19
02/07/2017,4,0,18
03/07/2017,3,1,19
04/07/2017,3,1,18
05/07/2017,3,0,17
06/07/2017,6,3,19
07/07/2017,8,2,18
08/07/2017,8,1,18
09/07/2017,8,0,18
10/07/2017,7,0,18
11/07/2017,6,0,17
12/07/2017,6,0,17
13/07/2017,3,0,17
14/07/2017,2,1,18
15/07/2017,4,3,20
16/07/2017,4,0,20
17/07/2017,5,1,20
18/07/2017,5,0,19
19/07/2017,6,1,19
20/07/2017,7,1,20
21/07/2017,7,1,21
22/07/2017,4,0,21
23/07/2017,5,1,21
24/07/2017,5,1,20
25/07/2017,5,0,19
26/07/2017,4,0,19
27/07/2017,4,1,20
28/07/2017,4,1,21
29/07/2017,5,2,21
30/07/2017,6,2,23
31/07/2017,7,2,24
01/08/2017,7,0,23
02/08/2017,8,1,24
03/08/2017,8,1,22
04/08/2017,10,2,22
05/08/2017,10,3,23
06/08/2017,8,0,23
07/08/2017,6,0,23
08/08/2017,8,2,25
09/08/2017,11,4,29
10/08/2017,11,1,30
11/08/2017,11,1,30
12/08/2017,10,2,29
13/08/2017,10,0,29
