Date;Euro
01/05/2017;0
02/05/2017;0
03/05/2017;0
04/05/2017;0
05/05/2017;0
06/05/2017;0
07/05/2017;0
08/05/2017;0
09/05/2017;0
10/05/2017;0
11/05/2017;0
12/05/2017;0
13/05/2017;0
14/05/2017;0
15/05/2017;0
16/05/2017;0
17/05/2017;0
18/05/2017;0
19/05/2017;0
20/05/2017;0
21/05/2017;0
22/05/2017;0
23/05/2017;0
24/05/2017;0
25/05/2017;0
26/05/2017;0
27/05/2017;0
28/05/2017;0
29/05/2017;0
30/05/2017;0
31/05/2017;0
01/06/2017;0
02/06/2017;0
03/06/2017;200
04/06/2017;200
05/06/2017;0
06/06/2017;399,82
07/06/2017;200,63
08/06/2017;200,18
09/06/2017;100,25
10/06/2017;200
11/06/2017;0
12/06/2017;49,9
13/06/2017;200
14/06/2017;0
15/06/2017;0
16/06/2017;0
17/06/2017;199,88
18/06/2017;0
19/06/2017;199,93
20/06/2017;200,43
21/06/2017;49,96
22/06/2017;0
23/06/2017;0
24/06/2017;0
25/06/2017;200
26/06/2017;99,75
27/06/2017;199,89
28/06/2017;0
29/06/2017;0
30/06/2017;0
01/07/2017;200
02/07/2017;0
03/07/2017;200,65
04/07/2017;200,32
05/07/2017;0
06/07/2017;600,38
07/07/2017;399,25
08/07/2017;200
09/07/2017;0
10/07/2017;0
11/07/2017;0
12/07/2017;0
13/07/2017;0
14/07/2017;199,63
15/07/2017;250
16/07/2017;0
17/07/2017;199,25
18/07/2017;0
19/07/2017;49,83
20/07/2017;200,54
21/07/2017;197,57
22/07/2017;0
23/07/2017;-150
24/07/2017;199,89
25/07/2017;0
26/07/2017;0
27/07/2017;199,36
28/07/2017;-149,73
29/07/2017;-100
30/07/2017;400,01
31/07/2017;448,01
01/08/2017;0
02/08/2017;200
03/08/2017;199,37
04/08/2017;1000
05/08/2017;600
06/08/2017;0
07/08/2017;0
08/08/2017;400,89
09/08/2017;801,77
10/08/2017;199,75
11/08/2017;398,46
12/08/2017;400
13/08/2017;0
14/08/2017;199,64
15/08/2017;201,41
16/08/2017;200,11
17/08/2017;200,33
18/08/2017;0
19/08/2017;0
20/08/2017;0
21/08/2017;399,18
22/08/2017;399,52
23/08/2017;0
24/08/2017;49,81
25/08/2017;200,19
26/08/2017;0
27/08/2017;200
28/08/2017;197,59
29/08/2017;0
30/08/2017;603,28
31/08/2017;200,98
01/09/2017;49,88
02/09/2017;600
03/09/2017;0
04/09/2017;-149,95
05/09/2017;2646,89
06/09/2017;1197,07
07/09/2017;1549,28
08/09/2017;1585,13
09/09/2017;400
10/09/2017;200
11/09/2017;0
12/09/2017;0
13/09/2017;0
14/09/2017;0
15/09/2017;397,88
16/09/2017;399,99
17/09/2017;0
18/09/2017;199,76
19/09/2017;199,41
20/09/2017;402,97
21/09/2017;799,74
22/09/2017;198,81
23/09/2017;0
24/09/2017;0
25/09/2017;0
26/09/2017;201,28
27/09/2017;200,7
28/09/2017;399,86
29/09/2017;0
30/09/2017;200
01/10/2017;600,01
02/10/2017;401,47
03/10/2017;401,16
04/10/2017;199,33
05/10/2017;200,61
06/10/2017;601,53
07/10/2017;200
08/10/2017;200
09/10/2017;199,17
10/10/2017;-149,73
11/10/2017;398,1
12/10/2017;448,77
13/10/2017;0
14/10/2017;399,99
15/10/2017;249,99
16/10/2017;400,81
17/10/2017;250,97
18/10/2017;0
19/10/2017;400
20/10/2017;0
21/10/2017;600,01
22/10/2017;0
23/10/2017;0
24/10/2017;400,69
25/10/2017;0
26/10/2017;201,75
27/10/2017;251,43
28/10/2017;0
29/10/2017;400,01
30/10/2017;200
31/10/2017;199,46
01/11/2017;200,31
02/11/2017;599,68
03/11/2017;400
04/11/2017;0
05/11/2017;200
06/11/2017;400,65
07/11/2017;200,45
08/11/2017;1397,42
09/11/2017;499,41
10/11/2017;199,37
11/11/2017;849,99
12/11/2017;400
13/11/2017;798,96
14/11/2017;399,24
15/11/2017;1142,07
16/11/2017;501,2
17/11/2017;399,7
18/11/2017;200
19/11/2017;1200,01
20/11/2017;451,69
21/11/2017;600,27
22/11/2017;799,34
23/11/2017;597,29
24/11/2017;199,59
25/11/2017;400
26/11/2017;800
27/11/2017;597,02
28/11/2017;1206,98
29/11/2017;1050,79
30/11/2017;799,99
01/12/2017;398,88
02/12/2017;200
03/12/2017;2000,01
04/12/2017;1001,78
05/12/2017;1804,28
06/12/2017;0
07/12/2017;550,47
08/12/2017;401,44
09/12/2017;600
10/12/2017;600
11/12/2017;398,88
12/12/2017;200,77
13/12/2017;399,59
14/12/2017;199,3
15/12/2017;601,18
16/12/2017;0
17/12/2017;0
18/12/2017;200,17
19/12/2017;249,17
20/12/2017;0
21/12/2017;0
22/12/2017;199,64
23/12/2017;0
24/12/2017;0
25/12/2017;200
26/12/2017;798,47
27/12/2017;599,6
28/12/2017;398,89
29/12/2017;0
30/12/2017;600
31/12/2017;800
